ESTACIÓN,CÓDIGO,X=N,Y=E,MUNICIPIO,CUENCA,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
El Hato No. 4,2401055,1069875,1012800,Carmen de Carupa,R. El Hato,1981,58.0,30.0,59.0,135.0,269.0,44.0,44.0,77.0,66.0,117.0,161.0,43.0
Tisquesusa,2120631,1021250,977080,Facatativá,R. Subachoque,2002,5.4,22.6,89.2,121.8,28.0,63.0,11.6,16.8,4.8,108.4,0.0,0.0
Alco,2120159,1041700,1008000,Cajicá,R. Bogotá,1996,32.1,57.0,76.9,27.2,24.5,9.8,9.2,23.0,8.8,1.1,0.0,0.0
Sutamarchán,2401029,1113200,1050440,Sutamarchán,R. Sutamarchán,1978,0.0,35.0,135.0,181.0,85.0,10.0,42.0,5.0,42.0,68.0,32.0,56.0
El Placer,2123502,1007762,928174,Puli,R. Magddalena,2016,34.3,65.6,80.4,235.1,71.5,39.0,86.1,55.5,73.2,168.2,127.5,132.4
Barrancas,2120633,1062200,1025740,Tausa,R. Checua,1996,22.0,30.0,84.0,107.0,79.1,41.0,65.0,52.4,58.5,145.5,90.9,95.9
Usaquén,2120111,1010630,1005770,Santafe de Bogotá,R. Bogotá,1984,160.0,72.0,82.0,88.0,30.0,93.0,20.0,75.0,52.0,60.0,120.0,45.0
Alto de Aire,2120168,1065500,1028300,Cucunuba,R. Checua,2014,30.8,48.1,107.9,40.0,36.2,60.9,59.3,29.9,31.9,40.5,91.1,58.7
Novilleros,2401519,1080650,1032380,Ubaté,R. Ubaté,2015,18.6,53.1,60.6,30.0,29.9,38.2,29.3,13.6,8.5,10.1,40.6,6.5
El Muña,2120561,993600,981280,Sibaté,Emb. Muña,1977,9.0,5.1,49.6,55.1,24.3,26.0,37.3,47.0,50.7,105.8,38.7,11.7
Sutamarchán,2401029,1113200,1050440,Sutamarchán,R. Sutamarchán,1995,11.0,77.5,135.3,59.0,39.0,51.5,53.0,62.0,0.0,109.5,87.0,65.5
La Picota,2120156,995500,994600,Santafe de Bogotá,R. Tunjuelo,2003,12.4,35.6,49.7,47.1,8.6,0.0,0.0,13.6,45.3,54.5,59.7,34.3
Potrerito,3509505,1097510,1125520,Aquitania,Lag. Tota,1978,13.0,12.0,0.0,0.0,0.0,135.0,58.5,95.0,82.5,107.0,41.0,15.0
Los Arrayanes,2401031,1109880,1040300,Tinjacá,R. Suárez,2005,0.0,52.7,8.0,18.1,28.0,2.3,8.3,41.0,38.0,132.5,176.0,139.0
